year,month,day,hour,minute,second,valve_open,temperature,soil_moisture,light_level,rain_detected,humidity
2025,8,27,0,2,45,0,17.30,3.20,0.21,0,64.00
2025,8,27,0,7,45,0,17.28,2.99,0.18,0,64.00
2025,8,27,0,12,45,0,17.20,3.26,0.46,0,64.00
2025,8,27,0,17,45,0,17.10,3.57,0.33,0,64.00
2025,8,27,0,22,45,0,17.00,3.22,0.29,0,64.81
2025,8,27,0,27,45,0,16.80,3.31,0.34,0,64.00
2025,8,27,0,32,45,0,16.70,3.26,0.38,0,65.00
2025,8,27,0,37,45,0,16.60,3.36,0.22,0,65.00
2025,8,27,0,42,45,0,16.50,3.08,0.29,0,65.00
2025,8,27,0,47,45,0,16.40,3.66,0.48,0,66.00
2025,8,27,0,52,45,0,16.40,2.72,0.36,0,66.00
2025,8,27,0,57,45,0,16.30,3.42,0.32,0,65.08
2025,8,27,1,2,45,0,16.20,3.60,0.33,0,67.00
2025,8,27,1,7,45,0,16.20,3.31,0.30,0,67.00
2025,8,27,1,12,45,0,16.00,3.12,0.26,0,67.00
2025,8,27,1,17,46,0,16.00,3.25,0.37,0,68.00
2025,8,27,1,22,46,0,16.00,2.83,0.26,0,68.00
2025,8,27,1,27,46,0,16.00,3.23,0.35,0,69.00
2025,8,27,1,32,46,0,16.00,2.98,0.38,0,69.00
2025,8,27,1,37,46,0,16.00,3.25,0.27,0,69.00
2025,8,27,1,42,46,0,16.00,3.02,0.31,0,70.00
2025,8,27,1,47,46,0,16.00,3.43,0.43,0,70.00
2025,8,27,1,52,46,0,15.90,3.34,0.24,0,70.00
2025,8,27,1,57,46,0,15.80,3.02,0.47,0,70.00
2025,8,27,2,2,46,0,15.70,3.15,0.35,0,70.00
2025,8,27,2,7,46,0,15.70,2.75,0.28,0,71.00
2025,8,27,2,12,46,0,15.60,2.75,0.21,0,71.00
2025,8,27,2,17,46,0,15.50,3.19,0.31,0,71.00
2025,8,27,2,22,46,0,15.50,3.34,0.48,0,71.26
2025,8,27,2,27,46,0,15.50,3.18,0.43,0,72.00
2025,8,27,2,32,46,0,15.50,3.22,0.35,0,72.00
2025,8,27,2,37,46,0,15.50,2.89,0.23,0,72.00
2025,8,27,2,42,46,0,15.50,3.11,0.47,0,73.00
2025,8,27,2,47,46,0,15.40,2.64,0.34,0,73.00
2025,8,27,2,52,46,0,15.40,2.55,0.14,0,73.00
2025,8,27,2,57,46,0,15.40,2.76,0.24,0,73.00
2025,8,27,3,2,46,0,15.30,2.70,0.12,0,73.00
2025,8,27,3,7,46,0,15.40,2.74,0.20,0,74.00
2025,8,27,3,12,46,0,15.50,3.11,0.30,0,74.00
2025,8,27,3,17,46,0,15.50,2.59,0.14,0,74.00
2025,8,27,3,22,46,0,15.40,2.47,0.22,0,74.00
2025,8,27,3,27,46,0,15.31,2.80,0.33,0,74.00
2025,8,27,3,32,46,0,15.30,3.16,0.36,0,74.00
2025,8,27,3,37,46,0,15.20,2.78,0.23,0,75.00
